video,frame_id,timestamp,class,confidence,x1,y1,x2,y2
monkeysplaying,146,00:00:06,monkey,0.546,164,386,463,725
monkeysplaying,146,00:00:06,monkey,0.508,121,351,709,1280
monkeysplaying,147,00:00:06,monkey,0.67,433,385,647,680
monkeysplaying,147,00:00:06,monkey,0.55,120,353,711,1280
monkeysplaying,148,00:00:06,monkey,0.696,442,386,650,676
monkeysplaying,148,00:00:06,monkey,0.552,107,360,707,1280
monkeysplaying,149,00:00:06,monkey,0.699,441,387,650,674
monkeysplaying,149,00:00:06,monkey,0.596,91,368,715,1280
monkeysplaying,150,00:00:06,monkey,0.747,441,390,648,671
monkeysplaying,150,00:00:06,monkey,0.578,104,366,712,1280
monkeysplaying,151,00:00:06,monkey,0.746,435,389,647,673
monkeysplaying,151,00:00:06,monkey,0.587,100,367,714,1280
monkeysplaying,152,00:00:06,monkey,0.636,431,388,647,693
monkeysplaying,152,00:00:06,monkey,0.572,93,372,715,1280
monkeysplaying,153,00:00:06,monkey,0.697,435,387,646,673
monkeysplaying,153,00:00:06,monkey,0.599,90,375,713,1280
monkeysplaying,154,00:00:06,monkey,0.819,440,391,646,670
monkeysplaying,154,00:00:06,monkey,0.58,75,378,718,1280
monkeysplaying,155,00:00:06,monkey,0.626,437,387,647,696
monkeysplaying,155,00:00:06,monkey,0.594,65,370,718,1280
monkeysplaying,156,00:00:06,monkey,0.55,78,360,717,1280
monkeysplaying,157,00:00:06,monkey,0.576,447,380,654,694
monkeysplaying,157,00:00:06,monkey,0.554,117,356,710,1280
monkeysplaying,158,00:00:06,monkey,0.594,115,352,715,1280
monkeysplaying,158,00:00:06,monkey,0.507,443,384,647,722
monkeysplaying,159,00:00:06,monkey,0.615,67,338,714,1280
monkeysplaying,159,00:00:06,monkey,0.565,443,383,644,697
monkeysplaying,160,00:00:06,monkey,0.738,435,371,649,754
monkeysplaying,160,00:00:06,monkey,0.595,109,332,716,1280
monkeysplaying,161,00:00:07,monkey,0.713,436,370,651,738
monkeysplaying,162,00:00:07,monkey,0.711,435,373,648,753
monkeysplaying,163,00:00:07,monkey,0.651,432,371,646,721
monkeysplaying,164,00:00:07,monkey,0.732,443,374,644,723
monkeysplaying,164,00:00:07,monkey,0.571,110,341,715,1280
monkeysplaying,165,00:00:07,monkey,0.67,446,373,648,736
monkeysplaying,165,00:00:07,monkey,0.574,98,350,710,1280
monkeysplaying,166,00:00:07,monkey,0.563,137,345,708,1280
monkeysplaying,166,00:00:07,monkey,0.557,439,371,650,738
monkeysplaying,167,00:00:07,monkey,0.597,139,371,707,1280
monkeysplaying,168,00:00:07,monkey,0.502,123,386,707,1280
monkeysplaying,169,00:00:07,monkey,0.504,117,395,712,1280
monkeysplaying,170,00:00:07,monkey,0.51,130,401,713,1280
monkeysplaying,171,00:00:07,monkey,0.542,196,427,510,758
monkeysplaying,171,00:00:07,monkey,0.524,146,401,712,1280
monkeysplaying,172,00:00:07,monkey,0.681,459,399,646,661
monkeysplaying,172,00:00:07,monkey,0.57,149,397,714,1280
monkeysplaying,173,00:00:07,monkey,0.64,462,398,654,666
monkeysplaying,173,00:00:07,monkey,0.552,144,383,715,1280
monkeysplaying,174,00:00:07,monkey,0.54,150,381,714,1280
monkeysplaying,175,00:00:07,monkey,0.574,142,375,713,1280
monkeysplaying,176,00:00:07,monkey,0.537,167,363,716,1280
monkeysplaying,177,00:00:07,monkey,0.521,194,385,524,754
monkeysplaying,177,00:00:07,monkey,0.517,171,354,717,1280
monkeysplaying,178,00:00:07,monkey,0.546,167,348,718,1280
monkeysplaying,179,00:00:07,monkey,0.551,171,346,717,1280
